0126=2001年1月26日 印度遭遇50年来最大地震死亡两万多人
0126=1999年1月26日 约旦阿卜杜拉王储继承王位
0126=1998年1月26日 山西朔州市发生特大假酒中毒案
0126=1993年1月26日 瓦茨拉夫·哈韦尔当选捷克第一任总统
0126=1953年1月26日 国际海关日
0126=1953年1月26日 美国索尔克博士制成小儿麻痹症免疫新疫苗
0126=1953年1月26日 美国索尔克博士制成小儿麻痹症免疫新疫苗<br>
0126=1952年1月26日 中共中央开展“三反”、“五反”运动
0126=1950年1月26日 印度国庆日
0126=1939年1月26日 佛朗哥占领巴塞罗那，建立长达35年的独裁统治
0126=1934年1月26日 德波签订《互不侵犯条约》
0126=1923年1月26日 孙中山发表《孙文、越飞宣言》
0126=1910年1月26日 巴黎罗浮宫被洪水包围造成上亿美元损失
0126=1841年1月26日 英军侵占香港
0126=1788年1月26日 澳大利亚国庆日
0126=1210年1月26日 陆游逝世
0127=2002年1月27日 尼日利亚首都拉各斯大爆炸2000人丧生
0127=1999年1月27日 广西巨贪李乘龙一审被判处死刑
0127=1998年1月27日 中国民乐除夕回荡维也纳（这是中国民族音乐历史上第一次在有“音乐圣殿”之称的金色大厅展现风采）
0127=1997年1月27日 美科学家制造出原子激光
0127=1982年1月27日 瓦尔德海姆获“联合国和平奖”
0127=1973年1月27日 越美签定关于越南问题的巴黎协定
0127=1964年1月27日 我国与法国建交
0127=1950年1月27日 我国建立统一税收制度
0127=1945年1月27日 苏军解放奥斯威辛集中营
0127=1937年1月27日 美国遭受严重水灾，100万人无家可归
0127=1926年1月27日 电视诞生
0127=1901年1月27日 意大利作曲家威尔第逝世
0127=1893年1月27日 宋庆龄诞辰
0127=1822年1月27日 文明古国希腊独立
0127=1756年1月27日 奥地利音乐大师莫扎特诞生
0127=1142年1月27日 岳飞被害
0128=2002年1月28日 我常驻世贸组织代表团在日内瓦开馆
0128=1997年1月28日 中山舰沉没江底５８年后被整体打捞出水
0128=1997年1月28日 我国首条国际陆地光缆开通
0128=1996年1月28日 驻香港部队组建完成
0128=1989年1月28日 十世班禅大师圆寂
0128=1986年1月28日 “挑战者”号航天飞机爆炸
0128=1950年1月28日 中国戏曲学院成立
0128=1942年1月28日 中共中央制定根据地土地政策
0128=1939年1月28日 苏联红军成立，立宪会议解散
0128=1939年1月28日 爱尔兰诗人叶芝逝世
0128=1932年1月28日 “一·二八”上海事变
0128=1930年1月28日 西班牙独裁者德里维拉辞职
0129=1991年1月29日 井上靖——日本文坛巨星陨落
0129=1979年1月29日 中共中央为地主、富农分子摘帽
0129=1979年1月29日 邓小平副总理访问美国
0129=1963年1月29日 周恩来提出四个现代化
0129=1935年1月29日 中央红军四渡赤水
0129=1903年1月29日 马君武等呼吁“排满”革命
0129=1901年1月29日 清廷下诏“变法”实行“新政”
0129=1899年1月29日 党的早期领导人、作家、翻译家瞿秋白诞辰
0129=1866年1月29日 《约翰·克利斯朵夫》的作者罗曼·罗兰诞辰
0129=1860年1月29日 俄国著名小说家、戏剧家契诃夫诞辰
0129=1737年1月29日 北美独立战争时期的宣传鼓动家潘恩诞辰
0130=2001年1月30日 华人赵小兰当上美国部长成为美国历届政府中职位最高的华裔
0130=1995年1月30日 江泽民提出进祖国和平统一进程的8点主张
0130=1992年1月30日 我国与摩尔多瓦建交
0130=1969年1月30日 知名爱国人士李宗仁逝世
0130=1948年1月30日 印度圣雄甘地遇刺身亡
0130=1946年1月30日 联合国大会在伦敦召开首次会议
0130=1945年1月30日 古斯特洛夫号空前海难7700人遇难
0130=1933年1月30日 希特勒被任命为德国总理
0130=1914年1月30日 好莱坞成为世界电影中心
0130=1882年1月30日 美国总统罗斯福诞辰
0130=1649年1月30日 英国国王查理一世被处死
0131=1997年1月31日 欧洲投资银行首次发行欧元债券
0131=1981年1月31日 被伊朗扣压的52名人质回到美国
0131=1972年1月31日 我国与马耳他建交
0131=1955年1月31日 中国卫生部提出适当节制生育
0131=1954年1月31日 北京——莫斯科直达旅客列车正式通车
0131=1949年1月31日 平津战役结束，北平和平解放
0131=1943年1月31日 德军在斯大林格勒投降
0131=1933年1月31日 英国作家高尔斯华绥逝世
0131=1868年1月31日 美国化学家理查兹诞辰
0131=1797年1月31日 奥地利著名音乐家舒柏特诞辰
0201=2003年2月1日 美国“哥伦比亚”号航天飞机降落时爆炸解体七名宇航员已全部遇难
0201=2001年2月1日 中共中央国务院隆重举行国家科学技术奖励大会王选、黄昆获国家最高科学技术奖
0201=1997年2月1日 马斯哈多夫当选为车臣共和国总统
0201=1987年2月1日 人民币长城信用卡在北京首次发行
0201=1984年2月1日 我国与荷兰恢复外交关系
0201=1979年2月1日 伊朗宗教领袖霍梅尼回到伊朗
0201=1976年2月1日 德国物理学家海森伯逝世
0201=1952年2月1日 北京公审大贪污犯　两名官员被判死刑
0201=1947年2月1日 中共不承认国民党政府一切对外协定
0201=1946年2月1日 匈牙利共和国成立
0201=1946年2月1日 赖伊当选联合国首任秘书长
0201=1942年2月1日 毛泽东作《整顿党的作风》的报告
0201=1940年2月1日 中共确定今后的抗战任务
0201=1932年2月1日 中华苏维埃共和国创立国家银行
0201=1931年2月1日 俄罗斯联邦前总统叶利钦诞辰
0201=1925年2月1日 中共支持广东革命政府第一次东征
0201=1913年2月1日 中国参加首届远东运动会
0201=1909年2月1日 万国禁烟会在上海召开
0201=1908年2月1日 葡萄牙国王卡洛斯一世遇刺身亡
0201=1902年2月1日 光绪帝下旨准许汉满通婚
0201=1901年2月1日 “影帝”克拉克·盖博诞辰
0201=1877年2月1日 教育家徐特立诞辰
0201=1805年2月1日 法国早期工人运动中杰出领袖布朗基诞辰
0201=1764年2月1日 曹雪芹病逝
0201=1662年2月1日 郑成功收复台湾
0202=2000年2月2日 新疆生产建设兵团原副司令员陈忠严重违纪被开除党籍撤销职务
0202=1999年2月2日 国家经贸委发布首批淘汰落后产业目录　涉及10个行业114项内容
0202=1997年2月2日 秦基伟同志逝世
0202=1996年2月2日 李沛瑶不幸遇害
0202=1970年2月2日 著名学者伯特兰·罗素去世
0202=1969年2月2日 我国著名数学家熊庆来逝世
0202=1960年2月2日 国务院要求妥善安置归国华侨
0202=1958年2月2日 《人民日报》发表社论提出“全国大跃进”
0202=1949年2月2日 北平新华广播电台开始播音
0202=1948年2月2日 上海发生“申九惨案”
0202=1943年2月2日 斯大林格勒战役结束
0202=1939年2月2日 陕甘宁边区成立生产委员会
0202=1937年2月2日 范长江赴陕北采访报道中国革命
0202=1922年2月2日 华盛顿会议拒绝中国要求废除“二十一条”的要求
0202=1913年2月2日 世界最大的火车站——纽约中央火车站启用
0202=1895年2月2日 威海卫被日军占领
0202=1885年2月2日 苏联杰出统帅和军事理论家伏龙芝诞辰
0202=496年2月2日 北魏改拓跋姓为元氏
0203=2000年2月3日 日著名政治家二阶堂逝世
0203=1999年2月3日 杰出的经济、军事政治工作领导者余秋里逝世
0203=1998年2月3日 美战机超低飞行意缆车绳断人亡
0203=1997年2月3日 南非永久宪法正式生效
0203=1996年2月3日 云南丽江发生7级地震
0203=1995年2月3日 “发现”号航天飞机升空
0203=1993年2月3日 中共天津市委书记谭绍文逝世
0203=1988年2月3日 我国与乌拉圭建交
0203=1969年2月3日 阿拉法特成为巴勒斯坦武装力量领导人
0203=1966年2月3日 中央文化革命小组拟定《二月提纲》
0203=1952年2月3日 中共要求“三反”运动和整党运动相结合
0203=1924年2月3日 美国第25任总统威尔逊逝世
0203=1899年2月3日 戏剧家、作家老舍诞辰
0203=1809年2月3日 德国作曲家、钢琴家门德尔松诞辰
0204=1999年2月4日 “中国南极长城站”站名在南极揭牌
0204=1998年2月4日 阿富汗发生强烈地震
0204=1997年2月4日 以军发生恶性空难事件７３名官兵死亡
0204=1993年2月4日 相声大师侯宝林留下永恒的畅笑
0204=1986年2月4日 中共严禁党政机关和党政干部经商办企业
0204=1983年2月4日 我国著名诗人萧三逝世
0204=1975年2月4日 大型水电站——刘家峡水电站建成
0204=1959年2月4日 我国与苏丹建交
0204=1951年2月4日 中央人民政府发布没收资本家等财产的指示
